1,2,3,4,5,6,7,11,13,15,16,18,22,23,25, 1
1,3,4,10,11,12,13,14,15,16,19,20,21,24,25, 2
3,4,5,7,9,10,11,16,17,18,19,20,23,24,25, 3
1,3,6,8,11,12,14,15,17,18,19,20,21,23,25, 4
1,2,4,5,6,8,9,11,12,14,17,18,21,23,24, 5
1,3,5,6,8,10,11,12,14,15,17,18,21,22,23, 6
1,3,4,6,7,8,10,11,12,14,19,21,22,24,25, 7
2,3,5,6,8,10,12,15,16,18,19,20,21,24,25, 8
1,3,7,8,9,11,12,13,14,18,19,20,21,23,25, 9
2,4,7,10,11,13,14,15,16,19,20,21,23,24,25, 10
2,4,5,6,8,9,10,12,13,14,19,20,21,22,25, 11
1,2,3,4,5,9,10,11,13,14,16,17,18,20,22, 12
2,3,4,8,9,10,11,12,13,16,17,18,19,20,23, 13
2,5,6,8,9,10,11,14,16,17,18,19,20,21,23, 14
1,2,4,5,7,8,9,10,11,12,14,17,22,23,24, 15
1,3,5,6,8,12,13,14,17,19,20,21,22,24,25, 16
1,2,3,6,7,8,10,12,15,17,20,21,22,23,24, 17
1,2,3,4,5,6,8,12,18,20,21,22,23,24,25, 18
1,3,5,8,10,11,12,13,14,16,18,19,20,21,25, 19
1,4,5,6,7,8,9,11,13,15,17,19,21,22,23, 20
1,4,5,6,8,10,11,13,14,15,17,19,22,23,24, 21
1,2,3,4,6,7,8,12,15,19,20,21,22,23,25, 22
2,3,4,5,9,10,11,14,15,16,17,20,21,22,24, 23
1,4,6,8,9,10,13,14,15,17,18,19,20,21,24, 24
2,4,6,7,11,12,13,14,15,17,18,19,22,23,25, 25
2,3,5,6,8,9,11,13,16,17,18,21,23,24,25, 26
2,3,5,6,7,8,9,12,15,18,19,20,21,22,24, 27
2,3,8,11,12,13,16,17,18,19,20,22,23,24,25, 28
1,3,4,8,11,12,15,16,18,19,20,22,23,24,25, 29
1,2,3,4,7,10,11,12,13,14,16,17,20,24,25, 30
1,2,3,5,9,10,11,12,13,19,21,22,23,24,25, 31
1,2,3,5,6,13,14,16,18,19,21,22,23,24,25, 32
1,2,4,5,8,9,10,11,14,15,16,17,18,21,25, 33
1,3,4,7,8,9,10,11,12,13,15,18,21,22,25, 34
2,3,4,7,8,9,14,16,17,18,19,20,22,24,25, 35
2,5,7,8,9,10,11,12,13,16,18,19,20,21,23, 36
1,2,5,7,9,10,12,13,14,17,19,20,21,23,24, 37
1,2,4,6,7,10,14,15,16,17,18,19,21,23,25, 38
1,3,4,5,7,9,12,14,16,18,19,21,22,23,25, 39
3,4,5,6,7,9,13,14,16,17,19,21,22,24,25, 40
1,3,4,6,7,8,11,13,14,15,16,20,22,23,24, 41
1,2,3,4,5,8,9,10,12,17,20,22,23,24,25, 42
2,5,6,9,10,11,13,14,15,18,19,20,21,22,25, 43
1,2,3,4,6,7,8,9,11,13,14,15,16,18,22, 44
1,2,8,9,10,11,12,13,15,17,20,21,23,24,25, 45
3,5,7,8,9,10,11,12,13,14,15,20,21,23,24, 46
3,7,8,9,10,13,14,15,16,19,20,21,22,24,25, 47
1,2,3,4,6,8,9,11,13,14,15,20,21,22,24, 48
1,2,6,9,10,11,12,13,15,17,18,19,21,24,25, 49
1,3,5,6,7,8,11,12,15,17,18,20,21,23,24, 50
2,3,4,5,8,9,10,14,15,16,18,21,22,23,24, 51
2,4,5,6,7,8,10,11,14,16,17,18,20,22,25, 52
3,4,5,6,7,10,11,13,14,15,16,19,20,21,22, 53
1,3,4,5,7,8,9,13,14,15,16,19,20,21,24, 54
4,5,6,7,8,9,11,16,17,18,20,21,22,24,25, 55
2,4,6,7,8,9,10,11,12,13,15,20,22,23,25, 56
1,2,3,4,8,10,11,12,13,14,20,21,22,23,25, 57
3,4,6,7,8,9,10,11,12,14,15,16,19,23,24, 58
2,4,7,8,10,12,13,14,16,17,18,19,21,22,24, 59
1,2,4,5,9,10,11,13,15,16,17,19,20,23,24, 60
4,5,6,7,8,9,10,12,13,16,19,20,22,24,25, 61
2,4,5,6,7,8,9,10,11,15,16,17,20,22,24, 62
1,3,4,6,8,10,11,12,14,16,17,18,21,22,24, 63
2,6,8,9,11,13,14,15,16,18,19,21,22,23,25, 64
2,4,7,9,10,12,13,14,16,18,20,22,23,24,25, 65
1,2,3,4,5,7,8,11,12,13,14,15,16,20,25, 66
2,3,4,5,7,8,10,11,12,14,15,20,22,23,24, 67
2,3,5,6,9,10,11,13,15,16,17,19,21,22,24, 68
1,2,5,7,8,9,10,11,12,13,18,20,21,22,25, 69
1,3,5,7,8,13,15,17,18,19,21,22,23,24,25, 70
1,4,6,7,8,9,10,11,14,15,19,20,21,24,25, 71
1,3,5,8,9,13,15,16,17,18,19,20,22,23,24, 72
1,2,3,4,8,9,10,11,13,15,19,20,23,24,25, 73
2,3,4,7,8,10,11,12,13,19,20,21,22,23,24, 74
3,6,7,8,9,11,12,13,15,16,18,19,20,21,25, 75
1,4,5,6,7,8,9,10,11,12,17,18,23,24,25, 76
1,3,5,6,7,11,12,13,14,16,18,19,21,22,25, 77
3,4,5,6,9,10,12,13,14,16,17,19,20,22,23, 78
1,3,4,5,6,8,9,10,12,15,16,17,18,22,25, 79
1,2,3,6,8,10,13,14,15,16,18,19,21,24,25, 80
1,3,5,7,10,11,13,15,18,19,20,21,22,23,24, 81
1,2,3,4,5,8,9,10,12,14,15,16,18,21,24, 82
1,2,3,5,6,7,8,10,12,13,15,16,17,21,24, 83
2,3,4,7,9,10,11,12,13,17,18,19,20,21,25, 84
1,5,6,8,9,11,13,14,15,16,19,20,21,22,23, 85
1,3,5,6,9,10,13,15,16,17,19,20,21,24,25, 86
2,3,7,8,9,10,12,13,14,15,17,18,19,20,21, 87
1,3,4,5,6,8,10,12,14,15,16,17,19,24,25, 88
3,4,10,11,12,13,15,16,17,18,19,22,23,24,25, 89
2,4,5,6,7,9,11,12,13,14,15,18,19,20,22, 90
2,3,6,7,8,10,12,14,15,16,17,19,20,23,24, 91
4,7,8,10,11,12,13,14,15,16,17,18,20,22,25, 92
1,3,4,5,6,9,10,13,16,17,18,19,22,24,25, 93
2,3,6,8,9,10,12,13,14,15,17,20,22,23,25, 94
1,2,3,5,6,7,11,12,13,14,15,17,18,20,24, 95
1,2,5,6,8,10,11,12,13,15,16,17,18,19,20, 96
1,2,3,4,6,9,11,12,13,16,18,19,20,22,25, 97
2,4,5,8,9,13,14,15,16,17,19,20,21,22,24, 98
1,3,4,5,7,8,9,12,13,14,17,19,20,23,24, 99
3,6,7,9,10,11,12,14,15,16,18,19,21,22,25, 100
2,3,7,8,9,11,12,14,15,16,18,20,21,22,24, 101
2,4,5,9,10,12,14,15,18,19,21,22,23,24,25, 102
2,4,5,8,9,10,12,13,19,20,21,22,23,24,25, 103
1,3,4,5,7,8,9,10,11,13,15,18,22,24,25, 104
2,4,5,6,8,10,11,13,14,15,17,20,21,23,25, 105
1,2,3,4,7,9,10,14,15,16,18,20,21,22,24, 106
1,3,4,6,9,11,12,14,15,16,17,18,19,24,25, 107
1,4,5,7,9,11,12,13,15,16,17,19,20,21,22, 108
2,4,5,6,7,8,11,14,17,18,19,20,21,23,24, 109
1,2,3,6,8,9,10,13,14,16,17,20,21,22,25, 110
2,3,4,5,6,7,9,10,12,13,14,19,21,22,25, 111
1,4,9,10,11,12,13,14,15,17,20,21,22,23,25, 112
1,3,7,8,9,10,13,14,16,17,20,21,22,24,25, 113
3,4,5,6,8,10,11,12,13,14,17,20,22,23,24, 114
3,4,5,7,8,9,10,11,12,13,18,19,20,21,25, 115
2,4,5,7,8,12,14,17,18,20,21,22,23,24,25, 116
1,4,5,6,7,10,11,12,13,15,16,18,22,23,24, 117
1,2,3,4,5,6,8,9,10,12,13,17,19,20,25, 118
2,3,4,5,7,9,10,11,12,14,15,20,22,23,25, 119
1,2,3,5,7,9,10,11,13,14,15,16,18,19,23, 120
3,4,5,6,7,9,10,11,12,13,15,16,17,20,25, 121
1,2,3,4,5,6,7,9,11,16,17,18,19,20,25, 122
1,3,5,6,7,8,10,11,12,13,17,18,22,24,25, 123
1,2,3,4,6,7,9,10,12,14,16,18,21,22,25, 124
2,3,5,6,8,9,10,14,15,17,19,20,21,22,25, 125
1,2,3,4,6,10,13,16,17,19,20,21,23,24,25, 126
1,2,3,5,6,8,11,14,15,16,18,19,20,21,25, 127
1,3,6,9,10,11,13,16,17,18,19,20,21,23,25, 128
2,3,4,5,6,7,8,13,14,15,17,19,21,22,25, 129
1,3,5,7,8,9,10,11,12,15,16,17,20,22,24, 130
3,5,6,7,9,11,12,15,17,18,19,20,21,24,25, 131
1,2,4,8,9,11,12,14,15,17,18,19,23,24,25, 132
1,3,5,7,8,9,10,14,16,17,18,22,23,24,25, 133
3,6,7,8,9,10,11,14,16,18,19,20,21,23,24, 134
1,2,5,7,9,11,12,15,16,19,21,22,23,24,25, 135
4,5,6,7,9,12,13,14,15,16,18,19,20,22,23, 136
2,3,5,7,9,10,11,13,15,17,19,20,21,24,25, 137
1,2,3,4,5,6,8,10,11,12,16,18,19,20,23, 138
1,3,4,5,6,7,13,15,16,17,20,21,22,23,24, 139
2,5,7,9,10,11,12,14,15,16,18,22,23,24,25, 140
1,2,3,4,6,8,9,10,11,13,17,18,19,22,23, 141
1,3,6,9,10,11,12,13,14,17,18,19,20,23,25, 142
4,7,8,9,11,12,13,14,15,16,17,19,21,23,25, 143
2,5,6,9,11,12,13,14,15,16,17,19,20,24,25, 144
2,3,4,6,9,10,12,14,16,17,18,20,22,24,25, 145
4,5,9,11,12,14,15,16,18,20,21,22,23,24,25, 146
1,5,6,8,9,10,12,13,15,17,20,21,22,23,24, 147
1,2,4,5,6,7,10,14,15,18,19,21,22,23,25, 148
1,2,3,4,5,7,9,11,12,14,17,20,21,23,24, 149
1,3,4,5,7,9,10,13,15,16,18,20,21,24,25, 150
1,2,4,5,7,8,9,10,14,15,18,21,22,24,25, 151
